step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,anonymouspainterthesleepingchristchildninodormidothomacollection,0.7026598215279525,0.18092815439055362,3.366110183639399,,¿Qué dicen las inscripciones?,"Hay inscripciones en tres zonas principales del cuadro: el estandarte de san Juan Bautista, los corazones situados entre Jesús niño y el alma, y la cinta blanca que recorre el marco florido. Todas están en latín, , que fue el idioma oficial de la Iglesia por varios siglos.

No son simples adornos. Las palabras conectan la imagen con la tradición bíblica y con prácticas devotas centradas en la contemplación, el amor espiritual y el ejercicio de las virtudes.","Vista completa de la pintura. La escena muestra al Niño Jesús dormido en una cuna, acompañado por María, José, san Juan Bautista niño y dos figuras infantiles. En distintas zonas aparecen inscripciones: una en el estandarte de san Juan, otras sobre dos corazones y varias más sobre una cinta blanca que rodea la composición.",Leer la imagen,ruta-c-inscripciones-bt9f-palabras-para-mirar.md,,,,,
2,anonymouspainterthesleepingchristchildninodormidothomacollection,0.3753034708872621,0.5688019285317086,2.9219706455203123,,¿Qué anuncia el estandarte de San Juan Bautista?,"San Juan Bautista niño sostiene una cruz de la que pende un pequeño estandarte con la frase latina Ecce Agnus Dei: “He aquí el Cordero de Dios”.

Estas palabras proceden del Evangelio de Juan e identifican a Jesús como aquel que será sacrificado para redimir a la humanidad.","Vista ampliada de san Juan Bautista niño el lado izquierdo de la pintura. El niño sostiene una cruz delgada con un pequeño estandarte. En la parte baja de su figura aparece un cordero. Alrededor se distinguen flores, cintas e inscripciones. Se ve parcialmente al Niño Jesús dormido y a la Virgen María.",Traducir la frase,ruta-c-inscripciones-bt9f-he-aqui-el.md,,,,,
3,anonymouspainterthesleepingchristchildninodormidothomacollection,0.44907722536745576,0.8531557396094707,3.3661101836393996,,¿Qué dicen los corazones?,"Las inscripciones de los corazones hacen dialogar a Jesús y al alma como si fueran el esposo y la esposa del Cantar de los Cantares.

El corazón de Jesús declara: Ego dormio, et cor meum vigilat: “Yo duermo, pero mi corazón vela”. El corazón del alma responde: Dilectus meus mihi, et ego illi, qui pascitur inter lilia: “Mi amado es mío y yo soy suya; él apacienta entre los lirios”.",Vista ampliada de los dos corazones situados entre Jesús niño alado y el alma. Uno de los corazones tiene un ojo abierto y una inscripción latina; el otro aparece unido por un lazo dorado. Las dos figuras infantiles se toman de la mano y acercan los pies.,Leer los corazones,ruta-c-inscripciones-bt9f-un-dialogo-de.md,,,,,
4,anonymouspainterthesleepingchristchildninodormidothomacollection,0.45030524735724214,0.2621017278690919,1.86624,,¿Qué virtudes rodean la escena?,"Una cinta blanca nace a los pies de Jesús niño y el alma, recorre el borde de la pintura y enmarca toda la escena. En ella aparecen nombres de virtudes: fe, caridad, esperanza, perseverancia, mortificación, paciencia, oración, obediencia, castidad, pobreza y humildad.

Las flores también hablan. El iris morado evoca el dolor por la muerte de Jesús; la rosa, el amor de María y la Pasión; el jazmín, la pureza y el aroma de santidad.","Vista ampliada del marco florido y de la cinta blanca que rodea la pintura. La cinta contiene palabras en latín asociadas con virtudes cristianas. Alrededor se observan flores de distintos colores, entre ellas lirios, rosas y jazmines. Se ven parcialmente las figuras de San Juan Bautista niño, Marí y José.",Interpretar el marco,ruta-c-inscripciones-bt9f-un-marco-de.md,,,,,
