step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,anonymouspainterthesleepingchristchildninodormidothomacollection,0.43570120554373093,0.6836110224659842,3.366110183639399,,La historia que cuenta la pintura,"La escena muestra a Jesús, María y José con san Juan Bautista niño. Ante la cuna de Jesús, aparecen dos pequeñas figuras infantiles. La reunión ocurre en un jardín florido iluminado por una luz dorada. 

Explora la imagen y observa cómo los personajes hablan a través de sus gestos.","Vista completa de una pintura virreinal de formato vertical. En el centro aparecen la Virgen María y san José de pie frente a una cuna donde duerme el Niño Jesús. A la izquierda, san Juan Bautista niño lleva el dedo índice a los labios. Delante de la cuna, dos figuras infantiles se toman de la mano junto a dos corazones. Flores e inscripciones rodean la escena.",Saber más,ruta-a-figuras-4k5s-step1-layer1.md,,,,,
2,anonymouspainterthesleepingchristchildninodormidothomacollection,0.351353565585356,0.5178139891364343,3.3661101836393996,,San Juan Bautista pide silencio,"Con la mirada fija en el espectador, San Juan Bautista niño lleva el dedo índice a los labios. En la otra mano sostiene una pequeña cruz con estandarte. La túnica de piel que viste alude a su futura vida en el desierto.

Acércate a su figura. Su gesto genera una atmósfera especial.",Vista ampliada de san Juan Bautista niño en el sector izquierdo de la pintura. Mira al espectador y lleva el dedo índice derecho a los labios. Con la otra mano sostiene una cruz delgada con un pequeño estandarte. A su alrededor aparecen flores y fragmentos de las cintas con inscripciones; en los bordes se ven parcialmente la Virgen María y el rostro del Niño Jesús dormido.,Interpretar el gesto,ruta-a-figuras-4k5s-el-indice-sobre.md,,,,,
3,anonymouspainterthesleepingchristchildninodormidothomacollection,0.448458709766793,0.6811063794949582,3.3661101836393996,,Las manos del Niño Jesús,"Rostro apacible y sereno. El velo transparente sobre el torso desnudo de Jesús acentúa la relajación de sus brazos caídos hacia el borde de la cuna.

Observa los dedos de sus manos. Juntos parecen decir que los dos son uno.
","Vista ampliada del Niño Jesús dormido. Su cabeza descansa sobre una almohada y sus brazos caen hacia el borde de la cuna. La mano derecha muestra dos dedos y la izquierda levanta uno. Una colcha con flores cubre sus piernas y, en el borde inferior, aparecen parcialmente dos figuras infantiles.",Interpretar el gesto,ruta-a-figuras-4k5s-step3-layer1.md,,,,,
4,anonymouspainterthesleepingchristchildninodormidothomacollection,0.47072401561538874,0.798660868275677,2.255293823038398,,Los niños delante de la cuna,"Delante de la cuna hay dos figuras infantiles. Una es un Jesús niño alado, con aureola de rayos. La otra, vestida de rosa, representa el alma humana.

Mira sus gestos de cerca. Dicen más de los que parece.","Vista ampliada de las dos figuras infantiles situadas delante de la cuna. A la izquierda aparece un Jesús niño alado con aureola; a la derecha, una figura infantil vestida de rosa que representa el alma. Ambos se toman de la mano y extienden los pies uno hacia el otro. Entre ellos aparecen dos corazones.",Mirar de cerca,ruta-a-figuras-4k5s-union-entre-cristo.md,,,,,
5,anonymouspainterthesleepingchristchildninodormidothomacollection,0.552648386859877,0.38133095212999435,2.3492643989983315,,Las manos de María y José,"María y José permanecen de pie detrás de la cuna y dirigen la mirada hacia el Niño dormido. María junta las manos frente al pecho. José las cruza sobre su cuerpo.

Sus gestos expresan distintas maneras de contemplar y aceptar el misterio que tienen ante ellos. Acércate a sus manos para descubrir lo que comunican.","Vista ampliada de la parte central superior de la pintura. La Virgen María aparece a la izquierda, con la cabeza inclinada y las manos juntas frente al pecho. San José está a su derecha, también con la cabeza inclinada y las manos cruzadas sobre el pecho. A la izquierda se alcanza a ver parcialmente a San Juan Bautista niño.",Observar la manos de María,ruta-a-figuras-4k5s-maria-un-gesto.md,Observar las manos de José,ruta-a-figuras-4k5s-jose-humildad-y.md,,,
