step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,anonymouspainterthesleepingchristchildninodormidothomacollection,0.4928790123446715,0.5013372242953529,0.9,,La inspiración del pintor,"Para construir una pintura como esta, el pintor tomó un grabado europeo que luego modificó para crear una composición única. 

Sigue adelante en el recorrido para conocer esa fuente.","Vista completa de la pintura virreinal. En el centro aparecen María y José frente a la cuna del Niño Jesús dormido. A la izquierda, san Juan Bautista niño lleva un dedo a los labios. Delante de la cuna se encuentran dos figuras infantiles y dos corazones. Flores, cintas e inscripciones rodean la composición.",Descubrir el modelo base,ruta-b-modelos-hqvy-una-pintura-hecha.md,,,,,
2,anonymouspainterthesleepingchristchildninodormidothomacollection,0.34334483201891414,0.4944156343203622,3.3661101836393996,,¿De dónde proviene el gesto de silencio?,"San Juan Bautista niño lleva el dedo índice a los labios. Según el relato de Domenico Cavalca (c. 1270-1342), Jesús le reveló a Juan su futura Pasión y le pidió guardar el secreto. Por eso, Juan calla.

Pero su gesto tiene una historia más antigua. Acércate para descubrirla.",Vista ampliada de san Juan Bautista niño en el sector izquierdo de la pintura. Mira hacia el espectador y lleva el dedo índice a los labios. Con la otra mano sostiene una cruz delgada con un pequeño estandarte. Flores y cintas con inscripciones rodean su figura.,Descubrir el gesto,ruta-b-modelos-hqvy-harpocrates.md,,,,,
3,anonymouspainterthesleepingchristchildninodormidothomacollection,0.4586033137479343,0.680041014535132,3.3661101836393996,,¿Por qué duerme Jesús?,"El Niño Jesús duerme en el centro de la escena. Su cuerpo pequeño y recostado transmite quietud, pero ese sueño no es solo un descanso. 

La forma en que está representado remite a un modelo visual más antiguo con un significado inquietante. Acércate para descubrirlo.",Vista ampliada del Niño Jesús dormido en su cuna. Su cabeza descansa sobre una almohada y su cuerpo se recuesta de lado. Una colcha con flores cubre parte de sus piernas. En los bordes de la imagen se alcanzan a ver fragmentos de otras figuras de la escena.,Comparar el modelo,ruta-b-modelos-hqvy-eros-dormido.md,Escuchar el villancico,ruta-b-modelos-hqvy-escuchar-el-sueno.md,,,
4,anonymouspainterthesleepingchristchildninodormidothomacollection,0.4533132626760137,0.8395680098953068,3.3661101836393996,,¿Qué enseñan los corazones?,"Delante de la cuna aparecen dos figuras infantiles: un Jesús niño alado y el alma humana. Entre ambos hay dos corazones unidos por un lazo dorado.

Esta escena no solo representa el afecto. También remite a una tradición emblemática que usa el corazón como símbolo de la vida espiritual.","Vista ampliada de la parte inferior central de la pintura. Aparecen dos figuras infantiles delante de la cuna: a la izquierda, un Jesús niño alado con aureola; a la derecha, una figura vestida de rosa que representa el alma. Ambas figuras se toman de la mano y acercan los pies. Entre ellas se ven dos corazones unidos por un lazo dorado.",Mirar los emblemas,ruta-b-modelos-hqvy-schola-cordis-educar.md,,,,,
5,anonymouspainterthesleepingchristchildninodormidothomacollection,0.5452444496935613,0.3931976771484591,2.434975537933594,,¿Qué modelos inspiran los gestos de María y José?,"En la América virreinal, los pintores recurrieron con frecuencia a grabados europeos como repertorios de posturas, gestos y composiciones. Entre los más influyentes estuvieron los del círculo de Hieronymus Wierix.

En esta pintura, María y José parecen construidos a partir de modelos gráficos distintos. Sus cuerpos muestran cómo una imagen podía viajar, transformarse y adquirir un nuevo sentido.","Vista ampliada de la parte central superior de la pintura. La Virgen María aparece a la izquierda, con corona, la cabeza inclinada y las manos juntas frente al pecho. San José está a la derecha, también inclinado hacia el Niño, con las manos cruzadas sobre el pecho. Del lado izquiero se ve parcialmente a San Juan Bautista niño",Descubrir los modelos,ruta-b-modelos-hqvy-maria-velar-el.md,Descubrir el modelo,ruta-b-modelos-hqvy-jose-un-gesto.md,,,
